date,value
2010-07-05,5836
2010-07-07,5837
2010-07-09,5838
2010-07-11,5851
2010-07-15,5862
2010-07-16,5866
2010-07-17,5867
2010-07-18,5868
2010-07-19,5875
2010-08-01,5883
2010-08-08,5885
2010-08-09,5887
2010-08-10,5888
2010-08-16,5889
2010-08-18,5891
2010-08-23,5905
2010-08-25,5906
2010-08-26,5907
2010-08-28,5908
2010-08-31,5911
2010-09-01,5921
2010-09-06,5927
2010-09-07,5928
2010-09-08,5929
2010-09-09,5930
2010-09-15,5931
2010-09-20,5932
2010-09-22,5933
2010-09-24,5934
2010-09-26,5961
2010-09-28,5962
2010-09-29,5963
2010-09-30,5970
2010-10-01,5975
2010-10-08,5976
2010-10-09,5991
2010-10-11,5993
2010-10-14,5995
2010-10-15,5997
2010-10-18,5998
2010-10-25,5999
2010-10-26,6002
